name	traceId	time	duration
reductionTest.reduceBlock	KHdNyEdG	1422467610134818	128962
reductionTest.reduceBlock	KHdNyEdG	1422467610135169	115926
reductionTest.reduceBlock	KHdNyEdG	1422467610135504	115431
reductionTest.reduceBlock	KHdNyEdG	1422467610135839	116359
reductionTest.reduceBlock	KHdNyEdG	1422467610136177	115832
reductionTest.reduceBlock	KHdNyEdG	1422467610136527	116541
reductionTest.reduceBlock	KHdNyEdG	1422467610136864	115498
reductionTest.reduceBlock	KHdNyEdG	1422467610137201	116044
reductionTest.reduceBlock	KHdNyEdG	1422467610137537	132808
reductionTest.reduceBlock	KHdNyEdG	1422467610137891	139993
reductionTest.reduceBlock	KHdNyEdG	1422467610138253	116464
reductionTest.reduceBlock	KHdNyEdG	1422467610138605	115938
reductionTest.reduceBlock	KHdNyEdG	1422467610138942	118137
reductionTest.reduceBlock	KHdNyEdG	1422467610139282	130467
reductionTest.reduceBlock	KHdNyEdG	1422467610139650	128848
reductionTest.reduceBlock	KHdNyEdG	1422467610140002	116608
reductionTest.reduceBlock	KHdNyEdG	1422467610140338	121547
reductionTest.reduceBlock	KHdNyEdG	1422467610140705	116780
reductionTest.reduceBlock	KHdNyEdG	1422467610141042	116121
reductionTest.reduceBlock	KHdNyEdG	1422467610141394	116072
reductionTest.reduceBlock	KHdNyEdG	1422467610141744	129444
reductionTest.reduceBlock	KHdNyEdG	1422467610142095	115908
reductionTest.reduceBlock	KHdNyEdG	1422467610142433	117004
reductionTest.reduceBlock	KHdNyEdG	1422467610142773	116835
reductionTest.reduceBlock	KHdNyEdG	1422467610143112	117306
reductionTest.reduceBlock	KHdNyEdG	1422467610143450	148024
reductionTest.reduceBlock	KHdNyEdG	1422467610143820	130187
reductionTest.reduceBlock	KHdNyEdG	1422467610144171	141087
reductionTest.reduceBlock	KHdNyEdG	1422467610144541	129045
reductionTest.reduceBlock	KHdNyEdG	1422467610144891	130638
reductionTest.reduceBlock	KHdNyEdG	1422467610145261	116964
reductionTest.reduceBlock	KHdNyEdG	1422467610145601	138567
reductionTest.reduceBlock	KHdNyEdG	1422467610145963	116833
reductionTest.reduceBlock	KHdNyEdG	1422467610146300	115450
reductionTest.reduceBlock	KHdNyEdG	1422467610146637	117889
reductionTest.reduceBlock	KHdNyEdG	1422467610146977	128532
reductionTest.reduceBlock	KHdNyEdG	1422467610147326	129911
reductionTest.reduceBlock	KHdNyEdG	1422467610147678	129852
reductionTest.reduceBlock	KHdNyEdG	1422467610148030	116907
reductionTest.reduceBlock	KHdNyEdG	1422467610148368	141588
reductionTest.reduceBlock	KHdNyEdG	1422467610148764	124560
reductionTest.reduceBlock	KHdNyEdG	1422467610149108	113319
reductionTest.reduceBlock	KHdNyEdG	1422467610149444	115136
reductionTest.reduceBlock	KHdNyEdG	1422467610149779	115543
reductionTest.reduceBlock	KHdNyEdG	1422467610150116	115724
reductionTest.reduceBlock	KHdNyEdG	1422467610150467	115969
reductionTest.reduceBlock	KHdNyEdG	1422467610150805	130284
